Day,Micro,,,,
03/01/2000,9186.7,,,,
04/01/2000,9717.1,,,,9707.816635
05/01/2000,9610.5,,,,
06/01/2000,9463.6,,,,
07/01/2000,9846.6,,,,10107.12103
08/01/2000,9760.2,,,,
09/01/2000,9839.2,,,,
10/01/2000,10274.7,,,,
11/01/2000,10292.6,,,,
12/01/2000,10017,,,,
13/01/2000,10241.7,,,,
14/01/2000,9853.4,,,,
15/01/2000,9854.9,,,,
16/01/2000,9734.8,,,,
17/01/2000,10252.7,,,,
18/01/2000,10199,,,,
19/01/2000,10171.3,,,,
20/01/2000,9956.8,,,,
21/01/2000,10145.1,,,,
22/01/2000,10096.6,,,,
23/01/2000,9783,,,,
24/01/2000,10562.4,,,,
25/01/2000,10584,,,,
26/01/2000,10658,,,,
27/01/2000,10725.2,,,,
28/01/2000,10865.8,,,,
29/01/2000,10743.2,,,,
30/01/2000,10567.2,,,,
31/01/2000,10341.4,,,,
01/02/2000,10292.2,,,,
02/02/2000,10637.4,,,,
03/02/2000,10627,,,,
04/02/2000,10299.3,,,,
05/02/2000,9993.1,,,,
06/02/2000,10067.1,,,,
07/02/2000,10270.1,,,,
08/02/2000,10175.2,,,,
09/02/2000,10352.3,,,,
10/02/2000,9763.7,,,,
11/02/2000,9920.9,,,,
12/02/2000,9673.5,,,,
13/02/2000,9372.8,,,,
14/02/2000,9553.6,,,,
15/02/2000,9624.2,,,,
16/02/2000,9788.3,,,,
17/02/2000,9902.1,,,,
18/02/2000,9780.8,,,,
19/02/2000,10241.1,,,,
20/02/2000,10264.4,,,,
21/02/2000,10365.1,,,,
22/02/2000,10397.3,,,,
23/02/2000,10488.4,,,,
24/02/2000,10260.3,,,,
25/02/2000,10389.3,,,,
26/02/2000,10330.6,,,,
27/02/2000,10178.3,,,,
28/02/2000,10161.6,,,,
29/02/2000,10181.7,,,,
01/03/2000,10407.8,,,,
02/03/2000,10411.7,,,,
03/03/2000,10546.1,,,,
04/03/2000,10316.8,,,,
05/03/2000,10257.7,,,,
06/03/2000,10720.7,,,,
07/03/2000,10729.4,,,,
08/03/2000,10875.4,,,,
09/03/2000,11011.9,,,,
10/03/2000,10734,,,,
11/03/2000,10694.4,,,,
12/03/2000,10852.1,,,,
13/03/2000,10898.5,,,,
14/03/2000,10999.3,,,,
15/03/2000,11050.8,,,,
16/03/2000,11271.5,,,,
